uniqueid,productname,shippingweight,weight_kg,price
1f25e0968f5ab9451c985211bdfe4e27,Mikasa VSO2000 FIVB Replica Volleyball,1 pounds,0.5,18.93
0379ca9ef04209d1aae2106711eb7c76,"MightySkins Skin Compatible with Parrot Bebop 2 – Slow Sloth | Protective, Durable, and Unique Vinyl Decal wrap Cover | Easy to Apply, Remove, and Change Styles | Made in The USA",1 pounds,0.5,24.99
02d5d3748dc98cf913b93dc8b5c05c8b,"Hasbro Little Pony Rainbow Dash Cuddle Pillow, Large, Blue",1 pounds,0.5,30.82
a849de4958fcf81230d956e8991ac7c5,Banpresto 35783 My Hero Academia Enter The Hero Izuku Midoriya Figure,1 pounds,0.5,25.95
d34cc15af5c365e8e4505fdbaec1bfbb,Rubies Devil Girls Child Red Demon Costume,1 pounds,0.5,19.92
d9f0af321c22c625b2a9145fbcdccbe2,Entertainment Earth Designer Series Wonder Woman by Darwyn Cooke Action Figure,1 pounds,0.5,14.49
c1f6fdcb7200c11653033eca32baacc4,"Triple Eight Sweatsaver Liner Skateboarding Helmet, Zest Rubber, Small",1 pounds,0.5,33.81
676a467799b972146ba70da05638fd9d,Rubie's Costume Co Baby Boys' Sonic Romper Costume,1 pounds,0.5,33.00
5efed4ca5e1d1298828cc60ea425c972,"Learning Resources Dino Math Tracks Game, Place Value, Counting, Addition and Subtraction Dinosaur Game, Ages 6+",1 pounds,0.5,17.49
804c9155f31ee81aa93143d96b82a7a6,Small World Toys Fashion - Bead Gallery Craft Kit,1 pounds,0.5,9.99
100b6e625e05e74635fc1481067b09d2,Shopkins Season 8 USA Hotdog Stand Playset,1 pounds,0.5,16.88
2f270c6bd06db95194593c55e0ac0fee,Rubie's Costume Co. Women's Full Length Hooded Cape with Tulle Overlay,1 pounds,0.5,25.95
c9f38149cd0c59576905c321b265103a,Air Hogs 2-in-1 Hyper Drift Drone for High Speed Racing and Flying - Green,1 pounds,0.5,29.99
9e36ec56b97e87c6e198d8f959f9a432,MightySkins Skin Compatible with Yuneec Q500 & Q500+ Quadcopter Drone wrap Cover Sticker Skins Bandana,1 pounds,0.5,26.99
